Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTestSuite,,,,26-04-2026 19:16:47,26-04-2026 19:16:50,2.985s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:16:47,26-04-2026 19:16:48,0.864s,PASSED
"DATA BINDING - {""recordID"":""d98b6b45-729a-491a-9f67-526fc595fdc3""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:16:47,26-04-2026 19:16:48,0.752s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:16:48,26-04-2026 19:16:48,0.368s,PASSED
"DATA BINDING - {""recordID"":""1b548590-2886-4bc7-89d3-47ce611bf8bc""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:16:48,26-04-2026 19:16:48,0.361s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:16:48,26-04-2026 19:16:49,0.432s,PASSED
"DATA BINDING - {""recordID"":""102554cd-cfde-4161-a2fc-47aed70210a1""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:16:48,26-04-2026 19:16:49,0.423s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:16:49,26-04-2026 19:16:49,0.391s,PASSED
"DATA BINDING - {""recordID"":""584e3c3e-8752-4003-ae8e-aff21f5346d2""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:16:49,26-04-2026 19:16:49,0.382s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:16:49,26-04-2026 19:16:49,0.405s,PASSED
"DATA BINDING - {""recordID"":""102d9d76-2c59-485d-b53b-833e7e963b91""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:16:49,26-04-2026 19:16:49,0.398s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:16:49,26-04-2026 19:16:50,0.420s,PASSED
"DATA BINDING - {""recordID"":""c728d68c-264d-4f54-bde2-699479f906ed""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:16:49,26-04-2026 19:16:50,0.411s,PASSED
